thirdMeshCode,大分類,企業数,従業員数,売上高,lowerLeft_lng,lowerLeft_lat,lowerRight_lng,lowerRight_lat,upperRight_lng,upperRight_lat,upperLeft_lng,upperLeft_lat,center_lng,center_lat
53342276,E_建設業,2,27,711,134.325,35.55833333,134.3375,35.55833333,134.3375,35.56666667,134.325,35.56666667,134.33125,35.5625
53342276,F_製造業,1,309,6101,134.325,35.55833333,134.3375,35.55833333,134.3375,35.56666667,134.325,35.56666667,134.33125,35.5625
53342276,L_サービス業,1,3,46,134.325,35.55833333,134.3375,35.55833333,134.3375,35.56666667,134.325,35.56666667,134.33125,35.5625
53342277,A_農業,1,10,500,134.3375,35.55833333,134.35,35.55833333,134.35,35.56666667,134.3375,35.56666667,134.34375,35.5625
53342277,G_卸・小売業，飲食店,2,6,236,134.3375,35.55833333,134.35,35.55833333,134.35,35.56666667,134.3375,35.56666667,134.34375,35.5625
53342282,E_建設業,1,,116,134.275,35.56666667,134.2875,35.56666667,134.2875,35.575,134.275,35.575,134.28125,35.57083334
53342284,G_卸・小売業，飲食店,1,,3,134.3,35.56666667,134.3125,35.56666667,134.3125,35.575,134.3,35.575,134.30625,35.57083334
53342286,D_鉱業,1,30,228,134.325,35.56666667,134.3375,35.56666667,134.3375,35.575,134.325,35.575,134.33125,35.57083334
53342286,E_建設業,2,18,263,134.325,35.56666667,134.3375,35.56666667,134.3375,35.575,134.325,35.575,134.33125,35.57083334
53342286,F_製造業,1,39,169,134.325,35.56666667,134.3375,35.56666667,134.3375,35.575,134.325,35.575,134.33125,35.57083334
53342286,J_運輸・通信業,1,4,200,134.325,35.56666667,134.3375,35.56666667,134.3375,35.575,134.325,35.575,134.33125,35.57083334
53342287,F_製造業,1,,50,134.3375,35.56666667,134.35,35.56666667,134.35,35.575,134.3375,35.575,134.34375,35.57083334
53342287,G_卸・小売業，飲食店,1,6,220,134.3375,35.56666667,134.35,35.56666667,134.35,35.575,134.3375,35.575,134.34375,35.57083334
53342293,F_製造業,1,2,38,134.2875,35.575,134.3,35.575,134.3,35.58333333,134.2875,35.58333333,134.29375,35.57916667
53342293,G_卸・小売業，飲食店,1,5,695,134.2875,35.575,134.3,35.575,134.3,35.58333333,134.2875,35.58333333,134.29375,35.57916667
53342294,L_サービス業,1,1,9,134.3,35.575,134.3125,35.575,134.3125,35.58333333,134.3,35.58333333,134.30625,35.57916667
53342295,E_建設業,2,38,856,134.3125,35.575,134.325,35.575,134.325,35.58333333,134.3125,35.58333333,134.31875,35.57916667
53342295,G_卸・小売業，飲食店,1,2,290,134.3125,35.575,134.325,35.575,134.325,35.58333333,134.3125,35.58333333,134.31875,35.57916667
